Symbol,Name,Price,Exchange
"FOXA","Fox Corp",27.66,"Nasdaq Global Select"
"ABBV","Abbvie Inc",91.87,"New York Stock Exchange"
"GIS","General Mills Inc",63.15,"New York Stock Exchange"
"VZ","Verizon Communications Inc",60.48,"New York Stock Exchange"
"XRX","Xerox Holdings Corp",18.65,"New York Stock Exchange"
"CVLT","Commvault Systems Inc",40.86,"Nasdaq Global Select"
"IEFA","iShares Core MSCI EAFE",60.96,"BATS Exchange"
"X","United States Steel Corp",7.88,"New York Stock Exchange"
"MAT","Mattel Inc",10.805,"Nasdaq Global Select"
"CTL","Centurylink Inc",10.76,"New York Stock Exchange"
"MIK","Michaels Companies Inc",10.5,"Nasdaq Global Select"
"DVN","Devon Energy Corp",10.55,"New York Stock Exchange"
"BKLN","PowerShares Exchange-Traded Fund Trust",21.82,"NYSE Arca"
"IBN","ICICI Bank Limited",10.32,"New York Stock Exchange"
"MPC","Marathon Petroleum Corp",33.64,"New York Stock Exchange"
"EZU","iShares MSCI Eurozone",39.24,"BATS Exchange"
"PM","Philip Morris International Inc",79.15,"New York Stock Exchange"
"MSCI","MSCI Inc",348.18,"New York Stock Exchange"
"RDN","Radian Group Inc",15.97,"New York Stock Exchange"
"KO","Coca-Cola Co",51.04,"New York Stock Exchange"
"AABA","Altaba Inc.",19.63,"Nasdaq Global Select"
"SRC","Spirit Realty Capital Inc",36.47,"New York Stock Exchange"
"NFX","Newfield Exploration Company",17.03,"New York Stock Exchange"
"COP","ConocoPhillips",35.86,"New York Stock Exchange"
"CHK","Chesapeake Energy Corporation",11.85,"New York Stock Exchange"
"DIS","Walt Disney Co",131.99,"New York Stock Exchange"
"LEN","Lennar Corp",73.62,"New York Stock Exchange"
"CVX","Chevron Corp",81.93,"New York Stock Exchange"
"PYPL","PayPal Holdings Inc",191.84,"Nasdaq Global Select"
"GDXJ","VanEck Vectors Junior Gold Miners",58.34,"NYSE Arca"
"CTRP","Ctrip.com International Ltd.",35.97,"Nasdaq Global Select"
"AUY","Yamana Gold Inc",6.02,"New York Stock Exchange"
"DBEF","Xtrackers MSCI EAFE Hedged Equity",30.72,"NYSE Arca"
"WMT","Walmart Inc",142.83,"New York Stock Exchange"
"CLF","Cleveland-Cliffs Inc",6.59,"New York Stock Exchange"
"MRK","Merck & Co Inc",85.24,"New York Stock Exchange"
"MDLZ","Mondelez International Inc",57.88,"Nasdaq Global Select"
"RSPP","RSP Permian Inc.",47.93,"New York Stock Exchange"
"GG","Goldcorp Inc.",11.22,"New York Stock Exchange"
"MGM","MGM Resorts International",23.52,"New York Stock Exchange"
"GFI","Gold Fields Limited American Depositary Shares",12.57,"New York Stock Exchange"
"KGC","Kinross Gold Corp",8.63,"New York Stock Exchange"
"SCHW","Charles Schwab Corp",36.2,"New York Stock Exchange"
"NBR","Nabors Industries Ltd",36.69,"New York Stock Exchange"
"SRCI","SRC Energy Inc.",4,"NYSE American"
"JAG","Jagged Peak Energy Inc.",8.23,"New York Stock Exchange"
"NVDA","NVIDIA Corp",504.9,"Nasdaq Global Select"
"JNJ","Johnson & Johnson",148.59,"New York Stock Exchange"
"WDC","Western Digital Corp",38.16,"Nasdaq Global Select"
"BSX","Boston Scientific Corp",41.48,"New York Stock Exchange"
"STI","SunTrust Banks Inc.",70.13,"New York Stock Exchange"
"ON","ON Semiconductor Corp",22.68,"Nasdaq Global Select"
"ITUB","Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)",4.65,"New York Stock Exchange"
"BK","Bank of New York Mellon Corp",37.5,"New York Stock Exchange"
"HMY","Harmony Gold Mining Company Limited",5.95,"New York Stock Exchange"
"APA","Apache Corp",14.6,"New York Stock Exchange"
"HOME","At Home Group Inc",15,"New York Stock Exchange"
"NGD","New Gold Inc",1.82,"NYSE American"
"KOS","Kosmos Energy Ltd",1.21,"New York Stock Exchange"
"DAL","Delta Air Lines Inc",31.77,"New York Stock Exchange"
"INFY","Infosys Limited American Depositary Shares",12.44,"New York Stock Exchange"
"CCL","Carnival Corp",18.53,"New York Stock Exchange"
"BHGE","Baker Hughes a GE company Class A",25.18,"New York Stock Exchange"
"MFGP","Micro Focus Intl PLC ADS each representing One Ord Sh",3.87,"New York Stock Exchange"
"PBR","Petroleo Brasileiro S.A.- Petrobras",8.81,"New York Stock Exchange"
"DISCA","Discovery Inc",22.81,"Nasdaq Global Select"
"LPI","Laredo Petroleum Inc",14.41,"New York Stock Exchange"
"ABT","Abbott Laboratories",104.16,"New York Stock Exchange"
"FITB","Fifth Third Bancorp",21.63,"Nasdaq Global Select"
"PTEN","Patterson-UTI Energy Inc",3.66,"Nasdaq Global Select"
"USB","U.S. Bancorp",38.31,"New York Stock Exchange"
"BA","Boeing Co",171.05,"New York Stock Exchange"
"GGB","Gerdau S.A.",3.76,"New York Stock Exchange"
"JBLU","JetBlue Airways Corp",12.13,"Nasdaq Global Select"
"QEP","QEP Resources Inc",1.22,"New York Stock Exchange"
"EBAY","eBay Inc",52.54,"Nasdaq Global Select"
"HBAN","Huntington Bancshares Inc",9.935,"Nasdaq Global Select"
"DB","Deutsche Bank AG",9.73,"New York Stock Exchange"
"MRVL","Marvell Technology Group Ltd",37.36,"Nasdaq Global Select"
"ABX","Barrick Gold Corporation",13.55,"New York Stock Exchange"
"WBA","Walgreens Boots Alliance Inc",36.89,"Nasdaq Global Select"
"CDNA","CareDx Inc",31.99,"NASDAQ Global Market"
"ETP","Energy Transfer Partners L.P. representing limited partner interests",21.49,"New York Stock Exchange"
"RSX","VanEck Vectors Russia",22.02,"NYSE Arca"
"KNX","Knight-Swift Transportation Holdings Inc",45.34,"New York Stock Exchange"
"KBH","KB Home",34.59,"New York Stock Exchange"
"DISCK","Discovery Communications Inc.",20.44,"Nasdaq Global Select"
"PGR","Progressive Corp",92.94,"New York Stock Exchange"
"XLE","SPDR Select Sector Fund - Energy Select Sector",34.87,"NYSE Arca"
"MO","Altria Group Inc",43.49,"New York Stock Exchange"
"MDT","Medtronic PLC",105.74,"New York Stock Exchange"
"RIG","Transocean Ltd",1.34,"New York Stock Exchange"
"BCS","Barclays PLC",5.68,"New York Stock Exchange"
"CDEV","Centennial Resource Development Inc",0.6141,"NASDAQ Capital Market"
"DNR","Denbury Resources Inc",0.241,"New York Stock Exchange"
"EOG","EOG Resources Inc",43.14,"New York Stock Exchange"
"XLP","SPDR Select Sector Fund - Consumer Staples",65.54,"NYSE Arca"
"HPE","Hewlett Packard Enterprise Co",9.59,"New York Stock Exchange"
"TXN","Texas Instruments Inc",140.47,"Nasdaq Global Select"
"OAS","Oasis Petroleum Inc",0.534,"New York Stock Exchange"
"OKE","ONEOK Inc",26.76,"New York Stock Exchange"
"CVS","CVS Health Corp",60.24,"New York Stock Exchange"
"SVXY","ProShares Short VIX Short Term Futures",33.03,"NYSE Arca"
"HES","Hess Corp",47.15,"New York Stock Exchange"
"GDDY","GoDaddy Inc",79.52,"New York Stock Exchange"
"BX","Blackstone Group Inc",52.99,"New York Stock Exchange"
"NLSN","Nielsen Holdings PLC",15.28,"New York Stock Exchange"
"TS","Tenaris S.A. American Depositary Shares",11.42,"New York Stock Exchange"
"BOX","Box Inc",18.59,"New York Stock Exchange"
"OXY","Occidental Petroleum Corp",12.25,"New York Stock Exchange"
"OCLR","Oclaro Inc.",8.27,"Nasdaq Global Select"
"CVE","Cenovus Energy Inc",4.65,"New York Stock Exchange"
"SYF","Synchrony Financial",26.17,"New York Stock Exchange"
"IAU","ishares Gold Trust",18.46,"NYSE Arca"
"MTG","MGIC Investment Corp",9.44,"New York Stock Exchange"
"LUV","Southwest Airlines Co",39.39,"New York Stock Exchange"
"FTI","TechnipFMC PLC",7.81,"New York Stock Exchange"
"AA","Alcoa Corp",14.4,"New York Stock Exchange"
"ABEV","Ambev S.A. American Depositary Shares (Each representing 1)",2.37,"New York Stock Exchange"
"VTI","Vanguard Total Stock Market",173.45,"NYSE Arca"
"EQR","Equity Residential",58.11,"New York Stock Exchange"
"EWG","iShares MSCI Germany Index Fund",29.85,"NYSE Arca"
"ESRX","Express Scripts Holding Company",92.48,"Nasdaq Global Select"
